,artist_name,album_name,song_name,popularity,track_id,track_explicit
91,Bruce Channel,Hey! Baby (Deluxe Edition Remastered),Hey! Baby - Remastered,60,0obIo2GEab6qqms6t3JaMY,False
92,Shelley Fabares,Shelley!,Johnny Angel - Single Version,39,6XEW0P64pYXfD06e4oLcWz,False
93,Shelley Fabares,The Best Of Shelley Fabares,Johnny Angel - Single Version,31,5j4CGIpT35ipZrF93ejrhl,False
94,Shelley Fabares,All the Hits and More,Johnny Angel (Single Version),6,3kMvGAX3iJWiZ1nIWyif6r,False
95,Shelley Fabares,Funny Face!,Johnny Angel,5,0uyr9z8AgTzRX0Gr4IOOkZ,False
96,Elvis Presley,"Elvis' Golden Records, Vol. 3",Good Luck Charm,52,19gotedXtqeE8dWju6WURW,False
97,Elvis Presley,Elvis 30 #1 Hits,Good Luck Charm,41,4ZexY8LcZkPd89dYPxf8LH,False
98,Elvis Presley,The 50 Greatest Hits,Good Luck Charm,20,1uXI9YpSkgMFR6AEOSxcpe,False
99,Elvis Presley,From Nashville To Memphis - The Essential 60s Masters I,Good Luck Charm,12,14qA0t7NBgS489apGiSI3k,False
100,Elvis Presley,Suspicious Minds: 60 Greatest Hits of Elvis Presley,Good Luck Charm,12,5eVIYjFj6uocTvk8P4agXH,False
101,The Shirelles,20 Greatest Hits,Soldier Boy,36,6g4Oyy8IwraOjPl7nqnROq,False
102,The Shirelles,Baby It's You,Soldier Boy,35,7Ag7rVozR1OhzSdqc9K0KN,False
103,The Shirelles,The Best Of The Shirelles,Soldier Boy,18,6sVypbcpPNKuQyN3XcObDG,False
104,Ray Charles,"Modern Sounds in Country and Western Music, Vols 1 & 2",I Can't Stop Loving You,61,79nJj5dMyTsUzKvN5jUXsJ,False
105,David Rose Orchestra,The Stripper,The Stripper,23,57kFkrxZb3LzwDtcFQ05fl,False
106,Bobby Vinton,16 Most Requested Songs,Roses Are Red (My Love),40,5zw4SajQ2IKvjnSWXOSDrh,False
107,Bobby Vinton,The Best Of Bobby Vinton,Roses Are Red (My Love) - Single Version,43,0qYok0f8O5DE8yJSo146dn,False
108,Neil Sedaka,Neil Sedaka Sings The Hits,Breaking Up Is Hard to Do,46,64UJ810pLNwurMLRCPJPoa,False
109,Neil Sedaka,All Time Greatest Hits,Breaking Up Is Hard to Do,34,7pr4PuJDoPWSBXf5pzLbpZ,False
110,Neil Sedaka,The Very Best Of Neil Sedaka,Breaking Up Is Hard to Do - Remastered,18,39DSvayPtd1mLyc1Sdxgxw,False
111,Tommy Roe,Sheila,Sheila,41,5Mzu8smN6fRBCaUaTytD1W,False
112,Frankie Valli & The Four Seasons,Sherry and 11 Other Hits,Sherry,58,7sqK6f8dHVx3Q1GjFrVyGl,False
113,Frankie Valli & The Four Seasons,The Very Best of Frankie Valli & The 4 Seasons,Sherry,52,0NpvdCO506uO58D4AbKzki,False
114,Frankie Valli & The Four Seasons,Reunited Live,Medley: Sherry / Walk Like a Man / Big Girl's Don't Cry / Bye Bye Baby (Baby Good Bye) - Live,32,3gHci6N1SEb58tTDei9RpH,False
115,Frankie Valli & The Four Seasons,Jersey Beat: The Music Of Frankie Valli and The Four Seasons,Sherry - 2007 Remaster,26,1Z3ZQEPR1uGmRQ6CZbkNFV,False
116,The Crystals,Da Doo Ron Ron: The Very Best of The Crystals,He's a Rebel,39,0mG8Hety4RELeo6p808fcy,False
117,The Crystals,The Crystals,He's a Rebel,36,53Og0iCStGk5qD8AUKHHsR,False
118,The Crystals,He's A Rebel,He's a Rebel,26,48DTPMBgYRYYITd4m95sDc,False
119,Frankie Valli & The Four Seasons,Sherry and 11 Other Hits,Big Girls Don't Cry,58,00meczE1jpLTX0BBzIGrAR,False
120,Frankie Valli & The Four Seasons,The Very Best of Frankie Valli & The 4 Seasons,Big Girls Don't Cry,46,3VPJVon5HEa2VGZC62RJfW,False
121,Frankie Valli & The Four Seasons,Big Girls Don't Cry and 12 Other Hits,Big Girls Don't Cry,30,1QqheijBthTRPE3mT3IZxt,False
122,Frankie Valli & The Four Seasons,Jersey Beat: The Music Of Frankie Valli and The Four Seasons,Big Girls Don't Cry - 2007 Remaster,27,6tvglpgcriu4gWmpXSFBao,False
123,The Tornados,Telstar,Telstar,41,2rtaHm5SkgFzVa5Gr8oTW6,False
124,The Tornados,Telstar and More (Remastered),Telstar - Remastered,33,5KIzAUDxPywD92KxP2b6dx,False
125,The Tornados,Telstar (Remastered),Telstar - Remastered,15,3rs0Px3g5ObSBJjX688YoY,False
126,The Tornados,The Tornados Play Telstar And Other Great Hits,Telstar,13,2eR4d2DY3del54e5WE93Q5,False
127,Steve Lawrence,Going Solo with Steve Lawrence,Go Away Little Girl,39,5ewcbH8HRUcbDD0UsXa9by,False
128,Steve Lawrence,The Greatest Hits Vol. 1,Go Away Little Girl,17,4aSc9ICb487a9JjGXSMDMk,False
129,The Rooftop Singers,Vanguard Visionaries,Walk Right In,44,4WhT2YADjcU58IUgroWZQZ,False
130,The Rooftop Singers,The Best Of,Walk Right In,14,74e8PnYlPhP7nl6aXsGzRW,False
131,Frankie Valli & The Four Seasons,Big Girls Don't Cry and 12 Other Hits,Walk Like a Man,57,4C76SOnBa9eQDwOwe11hPz,False
132,Frankie Valli & The Four Seasons,The Very Best of Frankie Valli & The 4 Seasons,Walk Like a Man,45,1p9rtS9FiIFUP1BrkKheST,False
133,Frankie Valli & The Four Seasons,Reunited Live,Medley: Sherry / Walk Like a Man / Big Girl's Don't Cry / Bye Bye Baby (Baby Good Bye) - Live,32,3gHci6N1SEb58tTDei9RpH,False
134,Frankie Valli & The Four Seasons,Jersey Beat: The Music Of Frankie Valli and The Four Seasons,Walk Like a Man - 2007 Remaster,28,3ebFVCEIcB3zW9RbnHk28D,False
135,Frankie Valli & The Four Seasons,The Definitive Pop Collection,Walk Like a Man - 2006 Remaster,15,7mCNhND2XuUmru1ErHLZbr,False
136,The Chiffons,The Chiffons Absolutely The Best!,He's So Fine - Remastered 2000,54,2Bs1Lw9LX8hBm70t1iGdlh,False
137,The Chiffons,The Best Of The Chiffons,He's So Fine,20,6fg0ljyxEMrCLajca3BAMr,False
138,Jimmy Soul,"Frank Guida Presents: Jimmy Soul ""If You Wanna Be Happy""",If You Wanna Be Happy,49,7D97JnBT73FWUh9KmRvP9M,False
139,Lesley Gore,I'll Cry If I Want To,It's My Party,71,1Pq47iFLC5U7j8xeNiNcuS,False
140,Lesley Gore,20th Century Masters: The Millennium Collection: Best Of Lesley Gore,It's My Party,56,0sElHCOGB2n8Nlo6GOtWnq,False
141,Lesley Gore,"It's My Party (Live On The Ed Sullivan Show, October 13, 1963)","It's My Party - Live On The Ed Sullivan Show, October 13, 1963",43,5JBMBlS9YB7Q84dWuqLzhj,False
142,Lesley Gore,The Best Of,It's My Party,14,3AxvuFIg7W3ZiPO9qLZXiW,False
143,The Essex,Easier Said Than Done,Easier Said Than Done,29,2C5p7j2gw7Jr2VAZDiNP4u,False
144,The Essex,Easier Said Than Done: The Best Of The Essex,Easier Said Than Done,11,58HDeh74X0mjHz06wvx6kv,False
145,The Angels,My Boyfriend's Back,My Boyfriend's Back,46,5NiFSI8iIDtVm1NCwdYrHS,False
146,Bobby Vinton,16 Most Requested Songs,Blue Velvet,48,3WO8ZBnOtad3xMz46Z54pY,False
147,Bobby Vinton,Bobby Vinton's Greatest Hits,Blue Velvet,27,1NwPdyjfYh2Fn8rp39H9kS,False
148,The Singing Nuns,Sounds of Joyful Music,Dominique,28,2YMaQIN48lOHPJ8LxjsvLq,False
149,Bobby Vinton,There I've Said It Again,There! I've Said It Again,27,3mwiyHBHfAzOe89MwqJeEb,False
150,Bobby Vinton,Bobby Vinton's Greatest Hits,There! I've Said It Again,17,2R16L1f4pqHubNZnaGmeTC,False
151,The Beatles,1 (Remastered),She Loves You - Mono / Remastered,65,6nEkxYIEnrbYH7h1hJ8Xn6,False
152,The Beatles,Past Masters (Vols. 1 & 2 / Remastered),She Loves You - Remastered 2009,47,48JM82SHQTBYkhEYhMaOaa,False
153,The Beatles,The Beatles 1962 - 1966 (Remastered),She Loves You - Mono Version / Remastered 2009,44,0qsS2A3hwicJCLtcaR6JRQ,False
154,The Beatles,Live At The Hollywood Bowl,She Loves You - Live / Remastered,32,0GUp9QOezipeh6BOV1kguV,False
155,The Beatles,Anthology 1,"She Loves You - Anthology 1 Version / Live At The Prince Of Wales Theatre, London/1963",27,1S8yrFPr3n7K0szQCVu1Ta,False
156,Louis Armstrong,"Hello, Dolly! (Remastered)","Hello, Dolly!",52,63kd4m3VFxcJjPVVtbVNAu,False
157,Mary Wells,Mary Wells Sings My Guy,My Guy,62,4591VqUIXysNlmI5NcAIUd,False
158,Mary Wells,The Definitive Collection,My Guy - Single Version,50,7arXVtGNJPa7aOHiKOeUsl,False
159,The Dixie Cups,The Dixie Cups Meet The Shangri-Las,Chapel of Love (Stereo),12,6nyglQj2KZkNhnHvxTFIQL,False
160,The Beach Boys,All Summer Long (Mono & Stereo),I Get Around (Mono),65,3v9xlH6BpmRbqL7hgNJhfT,False
161,The Beach Boys,50 Big Ones: Greatest Hits,I Get Around,53,3mXexrmtPJ1KdWN37rYePx,False
162,The Beach Boys,10 Great Songs,I Get Around - Remastered,44,7Fng0zvM0XLoMHyINeu8Kj,False
163,The Beach Boys,The Very Best Of The Beach Boys: Sounds Of Summer,I Get Around - Remastered,38,59uVL70mVMC70500N90m0c,False
164,The Beach Boys,All Summer Long (Mono & Stereo),I Get Around (Stereo) - Remastered,38,1Jp0vQZhLa7YCOBdb5frOM,False
165,The Beach Boys,Greatest Hits,I Get Around,31,08RulLB7ganHw0PpbWOCfI,False
166,The Beach Boys,Endless Summer,I Get Around - Mono,25,5Sjbcl9DDuv8pHecj7DELR,False
167,Frankie Valli & The Four Seasons,The Very Best of Frankie Valli & The 4 Seasons,Rag Doll,42,6kAROIu6CLVjulTqSPYmAP,False
168,Frankie Valli & The Four Seasons,Rhino Hi-Five: Frankie Valli & The Four Seasons,Rag Doll,27,3OaxT3AzICWgHnRvmSPTnn,False
169,Frankie Valli & The Four Seasons,Rag Doll,Rag Doll,30,3NN4WPApckHyTZ6pPoRRWc,False
170,Frankie Valli & The Four Seasons,Jersey Beat: The Music Of Frankie Valli and The Four Seasons,Rag Doll - 2007 Remaster,21,52zMnmnQoNjUBrWhmQYWfh,False
171,The Beatles,A Hard Day's Night (Remastered),A Hard Day's Night - Remastered 2009,66,5J2CHimS7dWYMImCHkEFaJ,False
172,The Beatles,1 (Remastered),A Hard Day's Night - Remastered 2015,56,1pctwlBtIcKIjQMzsVcGHB,False
173,The Beatles,The Beatles 1962 - 1966 (Remastered),A Hard Day's Night - Remastered 2009,37,1E4FcSqQs7U2RTebCNaYRH,False
174,The Beatles,Live At The Hollywood Bowl,A Hard Day's Night - Live / Remastered,34,0P0Jm9mZi11ETImhECDhpq,False
175,The Beatles,Anthology 1,A Hard Day's Night - Anthology 1 Version,27,5ZliU9ZcQE2ShG8Rqxrsk1,False
