,song,album,artist,popularity,track_id,track_explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,num_samples,duration,end_of_fade_in,start_of_fade_out,tempo_confidence,time_signature_confidence,key_confidence,mode_confidence,genres,year,decade
1121,sussudio  2016 remaster,The Singles (Expanded),phil collins,38,3YTJxdgzKF1EBfwwykSnXJ,0,0.709,0.939,5,-5.189,1,0.0851,0.0517,0.0905,0.0506,0.736,121.246,263107,4,5801502,263.10666,0.16853,251.32118,0.878,1.0,0.327,0.276,"['mellow gold', 'rock drums', 'soft rock']",1985,1980
1122,sussudio  2016 remaster,The Singles,phil collins,34,6RL313g1FMEKmivaJclrXP,0,0.714,0.935,5,-5.195,1,0.0849,0.0529,0.0934,0.0515,0.725,121.232,263107,4,5801502,263.10666,0.16853,251.32118,0.873,1.0,0.351,0.286,"['mellow gold', 'rock drums', 'soft rock']",1985,1980
1123,sussudio  live 1990; 2019 remaster,Serious Hits...Live! (2019 Remaster),phil collins,36,6c1vtTOyRcKnjcrjD0zTjl,0,0.578,0.99,5,-4.33,1,0.093,0.145,0.268,0.991,0.478,120.033,435933,4,9612330,435.93332,0.0,435.93332,0.868,1.0,0.509,0.384,"['mellow gold', 'rock drums', 'soft rock']",1985,1980
1124,sussudio  extended remix,"12""ers",phil collins,35,4eZxIWW9JcaKo0xcKegItn,0,0.694,0.684,5,-13.661,1,0.0623,0.00826,0.29,0.0833,0.768,121.203,395267,4,8715630,395.26666,2.03755,381.91602,0.821,1.0,0.454,0.314,"['mellow gold', 'rock drums', 'soft rock']",1985,1980
1125,sussudio  extended remix,Remixed Sides,phil collins,28,5gZYhypBpnxre8Kvobgv1E,0,0.694,0.684,5,-13.661,1,0.0623,0.00826,0.29,0.0833,0.768,121.203,395267,4,8715630,395.26666,2.03755,381.91602,0.821,1.0,0.454,0.314,"['mellow gold', 'rock drums', 'soft rock']",1985,1980
1126,sussudio  live 1990,No Jacket Required (Deluxe Edition),phil collins,22,6yfQbHrBUj4mdIpoSv6A4i,0,0.532,0.994,5,-3.839,1,0.11,0.0661,0.0226,0.981,0.345,120.048,438147,4,9661134,438.14667,4.70785,438.14667,0.814,1.0,0.222,0.197,"['mellow gold', 'rock drums', 'soft rock']",1985,1980
1127,sussudio  live in paris 7211998; 2019 remaster,A Hot Night in Paris (Live; 2019 Remaster),phil collins,25,60cej1xktaETUksp8L5INC,0,0.547,0.866,10,-6.71,0,0.14,0.0279,0.175,0.956,0.476,104.004,413853,4,9125466,413.85333,3.44236,409.31555,0.3,0.98,0.28,0.262,"['mellow gold', 'rock drums', 'soft rock']",1985,1980
1128,medley mega mix: sussudio  dont lose my number  you cant hurry love,Remixed Sides,phil collins,24,6T9PbCLYwlLrkBKZ5WKCHU,0,0.53,0.75,7,-6.57,1,0.137,0.0531,0.000456,0.12,0.764,120.5,454986,4,10032449,454.98636,0.0,451.5062,0.116,0.806,0.0,0.291,"['mellow gold', 'rock drums', 'soft rock']",1966,1960
1129,a view to a kill,Decade,duran duran,59,6I4snLrVOrJsLdd43isc27,0,0.706,0.814,1,-5.405,1,0.0569,0.0159,0.0,0.262,0.778,125.472,217693,4,4800138,217.69333,1.12717,211.26675,0.642,1.0,0.338,0.259,"['dance rock', 'new romantic', 'new wave', 'new wave pop', 'rock', 'synthpop']",1985,1980
1130,a view to a kill,Greatest,duran duran,49,3O9zeBmAi5JRBMSpIQGx2v,0,0.706,0.814,1,-5.405,1,0.0569,0.0159,0.0,0.262,0.778,125.472,217693,4,4800138,217.69333,1.12717,211.26675,0.642,1.0,0.338,0.259,"['dance rock', 'new romantic', 'new wave', 'new wave pop', 'rock', 'synthpop']",1985,1980
1131,a view to a kill,Greatest,duran duran,24,0PW0vuF2LOgoxQL3eCANEQ,0,0.706,0.814,1,-5.405,1,0.0569,0.0159,0.0,0.262,0.778,125.472,217693,4,4800138,217.69333,1.12717,211.26675,0.642,1.0,0.338,0.259,"['dance rock', 'new romantic', 'new wave', 'new wave pop', 'rock', 'synthpop']",1985,1980
1132,a view to a kill,The Singles 81-85,duran duran,24,3KBtLX9wMpqlqjnAY6COaq,0,0.706,0.814,1,-5.405,1,0.0569,0.0159,0.0,0.262,0.778,125.472,217693,4,4800138,217.69333,1.12717,211.26675,0.642,1.0,0.338,0.259,"['dance rock', 'new romantic', 'new wave', 'new wave pop', 'rock', 'synthpop']",1985,1980
1133,a view to a kill  live,"Thanksgiving Tour - The Ultra Chrome, Latex & Steel Tour (Live)",duran duran,23,2TAUDaQbdaX6n2K0UzmbFQ,0,0.55,0.698,8,-5.881,1,0.058,0.0271,3.05e-05,0.776,0.337,124.775,255467,4,5633040,255.46667,0.0,253.18459,0.687,0.881,0.39,0.398,"['dance rock', 'new romantic', 'new wave', 'new wave pop', 'rock', 'synthpop']",1985,1980
1134,"a view to a kill  live at beacon theater, new york, ny, 31081987","Live at the Beacon Theatre (NYC, 31st August, 1987)",duran duran,16,5wgNfFi2kgTUJfKHlABzdb,0,0.596,0.932,1,-7.445,1,0.0633,0.0118,2.55e-05,0.92,0.473,125.97,225893,4,4980948,225.89333,5.50893,225.89333,0.909,1.0,0.4,0.409,"['dance rock', 'new romantic', 'new wave', 'new wave pop', 'rock', 'synthpop']",1985,1980
1135,money for nothing,Brothers in Arms,dire straits,63,4yqtwO7MQIIXqoiRBPHAgR,0,0.667,0.655,2,-9.339,0,0.0367,0.0491,0.000894,0.0641,0.657,134.212,506400,4,11166120,506.4,7.08789,475.14993,0.862,0.92,0.226,0.4,"['album rock', 'classic rock', 'mellow gold', 'rock']",1985,1980
1136,money for nothing,Sultans of Swing - the Very Best of Dire Straits,dire straits,48,1E8qiEnaCzyiOicYsabbtX,0,0.679,0.679,2,-9.746,0,0.0352,0.0856,8.54e-06,0.0592,0.834,134.234,249707,4,5506032,249.70667,3.3785,237.25569,0.903,0.958,0.106,0.319,"['album rock', 'classic rock', 'mellow gold', 'rock']",1985,1980
1137,money for nothing  live 1992,On the Night,dire straits,25,2sgWEB7KK9ZUuv2pgOWLTB,0,0.385,0.952,7,-7.286,0,0.0453,0.0637,0.0316,0.927,0.567,139.048,388360,4,8563338,388.36,0.0,388.36,0.635,0.917,0.608,0.589,"['album rock', 'classic rock', 'mellow gold', 'rock']",1985,1980
1138,money for nothing,The Best of - Private Investigations,dire straits & mark knopfler,20,4HkQDaiwVdS5c7wYMWrEVh,0,0.65,0.787,2,-6.772,0,0.0372,0.036,0.000134,0.0531,0.574,134.22,504467,4,11123490,504.46667,4.28408,477.16425,0.845,0.908,0.074,0.306,"['album rock', 'classic rock', 'mellow gold', 'rock']",1985,1980
1139,take on me  mtv unplugged,MTV Unplugged - Summer Solstice,aha,60,7htt7UuxHL5wneOcMWJP5E,0,0.472,0.204,9,-13.419,1,0.0408,0.966,4.12e-05,0.69,0.296,129.504,253907,4,5598642,253.90668,0.0,240.49487,0.13,0.894,0.503,0.709,"['europop', 'new romantic', 'new wave', 'new wave pop', 'permanent wave', 'soft rock', 'synthpop']",1985,1980
1140,take on me  2017 acoustic,Take On Me (2017 Acoustic),aha,61,6NK9sI0Lnsiwn6I0MbWWxn,0,0.437,0.188,9,-10.868,1,0.0307,0.92,1.26e-05,0.0988,0.223,103.883,184326,5,4064390,184.32608,0.17415,173.48788,0.081,0.742,0.342,0.5,"['europop', 'new romantic', 'new wave', 'new wave pop', 'permanent wave', 'soft rock', 'synthpop']",1985,1980
1141,saving all my love for you,Whitney Houston,whitney houston,65,1lx8ddGT5wCD6W2xmLeRKG,0,0.636,0.264,6,-14.567,0,0.0263,0.593,4.22e-05,0.275,0.264,99.304,238467,3,5258190,238.46667,0.94073,218.999,0.039,1.0,0.426,0.509,"['dance pop', 'pop', 'urban contemporary']",1966,1960
1142,saving all my love for you,Whitney Houston (The Deluxe Anniversary Edition),whitney houston,51,2KtQEHv44Y1US0iaJ41pRA,0,0.404,0.379,6,-8.887,0,0.0315,0.594,2.77e-05,0.0912,0.242,198.452,237293,3,5232318,237.29333,0.17297,222.52844,0.082,1.0,0.443,0.534,"['dance pop', 'pop', 'urban contemporary']",1966,1960
1143,saving all my love for you,I Will Always Love You: The Best Of Whitney Houston,whitney houston,38,0VUEeysnHl7ZV8vtUEMtIf,0,0.401,0.313,6,-11.74,0,0.0324,0.576,6.42e-05,0.092,0.252,198.23,237320,3,5232906,237.32,0.29873,222.7258,0.119,1.0,0.381,0.49,"['dance pop', 'pop', 'urban contemporary']",1966,1960
1144,saving all my love for you,Whitney The Greatest Hits,whitney houston,30,6uzdt1hQ9KcqEZ3y5Qo0gS,0,0.637,0.427,6,-7.195,0,0.0244,0.563,3.89e-05,0.234,0.241,99.235,236560,3,5216148,236.56,2.47873,224.73433,0.021,1.0,0.299,0.428,"['dance pop', 'pop', 'urban contemporary']",1966,1960
1145,saving all my love for you,I Will Always Love You: The Best Of Whitney Houston,whitney houston,15,4vBinGrdhiyXTmUjrXuSaO,0,0.4,0.313,6,-11.74,0,0.0324,0.576,6.49e-05,0.0921,0.252,198.234,237320,3,5232906,237.32,0.29873,222.7258,0.119,1.0,0.38,0.489,"['dance pop', 'pop', 'urban contemporary']",1966,1960
1146,parttime lover,In Square Circle,stevie wonder,67,0Dm43YLUlGdePpSbI1ct8h,0,0.662,0.624,10,-13.606,0,0.0417,0.165,0.0,0.0674,0.961,174.513,252560,4,5568948,252.56,0.3659,244.7151,0.783,1.0,0.482,0.589,"['funk', 'indie r&b', 'motown', 'quiet storm', 'soul']",1985,1980
1147,parttime lover  single version,The Definitive Collection,stevie wonder,55,798bKohvGZenetnHsKzUC6,0,0.685,0.823,10,-6.901,0,0.0524,0.165,0.0,0.0796,0.947,174.491,222733,4,4911270,222.73334,0.4005,216.91501,0.829,1.0,0.467,0.571,"['funk', 'indie r&b', 'motown', 'quiet storm', 'soul']",1985,1980
1148,parttime lover,At The Close Of A Century,stevie wonder,45,7fjcn8o8kZuPBW2WvFxXVQ,0,0.661,0.82,10,-7.219,0,0.0513,0.178,0.0,0.132,0.952,174.486,252560,4,5568948,252.56,0.0,244.39001,0.629,1.0,0.484,0.592,"['funk', 'indie r&b', 'motown', 'quiet storm', 'soul']",1985,1980
1149,parttime lover,The Definitive Collection,stevie wonder,34,5EC2aCe4SHXEBBSsJpdYwt,0,0.661,0.714,10,-10.321,0,0.0441,0.106,0.0,0.0716,0.961,174.502,254560,4,5613048,254.56,0.15098,244.46548,0.836,1.0,0.474,0.574,"['funk', 'indie r&b', 'motown', 'quiet storm', 'soul']",1985,1980
1150,parttime lover,Number 1's,stevie wonder,25,0XiY6qAJA5lii7qiP7nWkG,0,0.689,0.841,10,-6.451,0,0.0556,0.163,0.0,0.0894,0.942,174.479,222400,4,4903920,222.4,0.37805,216.89178,0.778,1.0,0.438,0.558,"['funk', 'indie r&b', 'motown', 'quiet storm', 'soul']",1985,1980
1151,original miami vice theme,Miami Vice: Special Edition,jan hammer,37,4UvPSeI6KQzuC5pa3i6uql,0,0.512,0.954,10,-7.596,1,0.0427,0.197,0.944,0.414,0.848,115.128,59962,4,1322172,59.96245,0.08132,55.87302,0.921,1.0,0.026,0.316,['jazz fusion'],1985,1980
1152,miami vice theme xl mix,Miami Vice: Special Edition,jan hammer,28,6gb79PJaaKPGzgJdlYATiq,0,0.514,0.871,7,-11.237,1,0.0419,0.12,0.864,0.405,0.657,115.154,199502,4,4399010,199.50159,0.0,193.3932,0.949,0.79,0.672,0.576,['jazz fusion'],1985,1980
1153,we built this city,Knee Deep In The Hoopla,starship,75,6OnfBiiSc9RGKiBKKtZXgQ,0,0.661,0.908,5,-4.897,1,0.039,0.052,0.0,0.0708,0.656,144.091,296080,4,6528564,296.08,1.02757,283.86975,0.78,1.0,0.66,0.569,"['album rock', 'mellow gold', 'new romantic', 'new wave', 'new wave pop', 'soft rock']",1985,1980
1154,we built this city,Starship Enterprise: The Best Of Jefferson Starship And Starship,jefferson starship,23,52nrUTQHMe4uxzjDICaD4H,0,0.66,0.908,5,-4.897,1,0.039,0.0516,0.0,0.0708,0.656,144.09,296080,4,6528564,296.08,1.02757,283.86975,0.789,1.0,0.66,0.569,"['album rock', 'mellow gold', 'new romantic', 'new wave', 'new wave pop', 'soft rock']",1985,1980
1155,we built this city,Greatest Hits (Ten Years And Change 1979-1991),starship,20,0DYaUucFNAbjEazLh3KDzH,0,0.659,0.805,5,-9.412,1,0.0289,0.0325,7.17e-06,0.0734,0.73,144.048,277960,4,6129018,277.96,0.50399,266.51282,0.807,1.0,0.661,0.567,"['album rock', 'mellow gold', 'new romantic', 'new wave', 'new wave pop', 'soft rock']",1985,1980
1156,broken wings,Welcome To The Real World,mr. mister,69,78FHUZRbFDCG6VkRAQdFLm,0,0.286,0.5,1,-14.281,0,0.0357,0.134,4.57e-05,0.108,0.443,99.162,343933,4,7583730,343.93332,3.32045,321.44543,0.139,1.0,0.595,0.599,"['album rock', 'mellow gold', 'new romantic', 'new wave', 'new wave pop', 'soft rock', 'synthpop']",1985,1980
1157,broken wings  single version,The Best of Mr. Mister,mr. mister,56,41CUuaX52fZjRzzCK0rkkh,0,0.283,0.657,1,-8.557,0,0.0353,0.0824,1.58e-05,0.136,0.37,97.991,284493,4,6273078,284.49332,2.23492,265.4331,0.194,1.0,0.679,0.658,"['album rock', 'mellow gold', 'new romantic', 'new wave', 'new wave pop', 'soft rock', 'synthpop']",1985,1980
1158,"say you, say me",Dancing On The Ceiling (Expanded Edition),lionel richie,69,17CPezzLWzvGfpZW6X8XT0,0,0.636,0.405,8,-11.113,1,0.0287,0.355,0.0,0.0804,0.257,128.068,241067,4,5315520,241.06667,0.50494,230.60898,0.429,1.0,0.633,0.627,"['adult standards', 'disco', 'mellow gold', 'quiet storm', 'soft rock']",1985,1980
1159,how will i know,How Will I Know,whitney houston,68,79wbJeLkXOlJh4AzaWCWfL,0,0.761,0.739,6,-3.591,1,0.0369,0.178,3.35e-06,0.23,0.656,118.997,213436,4,4706260,213.43584,0.21478,209.18277,0.826,1.0,0.591,0.524,"['dance pop', 'pop', 'urban contemporary']",1986,1980
1160,how will i know  oliver nelson remix,How Will I Know (Oliver Nelson Remix),whitney houston,38,6dDLIw9rqi89CKnVnMbltV,0,0.75,0.763,2,-4.127,0,0.0338,0.0125,4.08e-06,0.0706,0.679,117.992,275212,4,6068422,275.21188,2.54839,262.83246,0.774,1.0,0.703,0.574,"['dance pop', 'pop', 'urban contemporary']",1986,1980
1161,how will i know  junior vasquez club mix radio edit,Whitney The Greatest Hits,whitney houston,35,2LtjgykFxoF7Khi0TNVJfy,0,0.765,0.853,6,-7.071,1,0.0402,0.0184,0.00215,0.373,0.244,127.955,249800,4,5508090,249.8,0.31923,242.91556,0.791,0.953,0.707,0.59,"['dance pop', 'pop', 'urban contemporary']",1986,1980
1162,how will i know,I Will Always Love You: The Best Of Whitney Houston,whitney houston,37,5kuzyUm07YsbAWp6ydkIdp,0,0.838,0.664,6,-9.176,1,0.0445,0.202,0.000146,0.621,0.929,119.6,273413,4,6028764,273.41333,0.23492,264.64362,0.794,1.0,0.723,0.593,"['dance pop', 'pop', 'urban contemporary']",1986,1980
1163,kyrie  single version,The Best of Mr. Mister,mr. mister,58,5BXj1QDRU77J1ngVavG1tI,0,0.489,0.676,0,-8.769,1,0.0368,0.287,0.0,0.389,0.622,89.749,256960,4,5665968,256.96,3.97642,250.5433,0.542,0.997,0.673,0.696,"['album rock', 'mellow gold', 'new romantic', 'new wave', 'new wave pop', 'soft rock', 'synthpop']",1986,1980
1164,these dreams  remastered 2000,Greatest Hits 1985-1995,heart,54,521WSlpe1Pisn7BcEoefp2,0,0.538,0.571,11,-8.551,1,0.0301,0.449,1.84e-05,0.189,0.306,78.95,254133,4,5603640,254.13333,0.23995,242.95619,0.429,0.808,0.745,0.755,"['album rock', 'classic rock', 'hard rock', 'heartland rock', 'mellow gold', 'new wave pop', 'rock', 'soft rock']",1977,1970
1165,these dreams  live,Alive in Seattle (Live),heart,26,6QbgUoSu1JAg8YnqTAL7Wb,0,0.458,0.482,9,-12.218,1,0.0388,0.31,4.62e-05,0.944,0.386,78.986,338000,4,7452900,338.0,0.0,338.0,0.375,0.67,0.6,0.619,"['album rock', 'classic rock', 'hard rock', 'heartland rock', 'mellow gold', 'new wave pop', 'rock', 'soft rock']",1977,1970
1166,rock me amadeus  the american extended,Rock Me Amadeus 30th Anniversary,falco,48,5SjPfAiNn5rqPkQNcglgVR,0,0.685,0.921,10,-6.486,0,0.0715,0.106,0.00419,0.348,0.967,94.089,350133,4,7720440,350.13333,0.359,347.713,0.511,0.888,0.471,0.374,"['austropop', 'german pop', 'neue deutsche welle', 'new romantic']",1986,1980
1167,rock me amadeus  the gold mix,Falco 3 25th Anniversary Edition,falco,45,4pEXlAqaJXQUKDteKRLun9,0,0.609,0.901,4,-4.929,0,0.144,0.315,0.00949,0.116,0.866,176.664,201467,4,4442340,201.46667,0.37741,196.38857,0.248,0.975,0.363,0.258,"['austropop', 'german pop', 'neue deutsche welle', 'new romantic']",1986,1980
1168,rock me amadeus  the gold mix,Greatest Hits,falco,31,7tGOxq2rtohwKQml0YVF9d,0,0.617,0.886,4,-7.092,0,0.132,0.396,0.005,0.14,0.909,176.563,201867,4,4451160,201.86667,1.05624,197.04454,0.4,0.973,0.47,0.321,"['austropop', 'german pop', 'neue deutsche welle', 'new romantic']",1986,1980
1169,rock me amadeus  the american edit,Exquisite,falco,34,69womHwdCZ4DDn8b7dxTaq,0,0.678,0.923,10,-8.061,0,0.0651,0.161,0.000785,0.354,0.962,92.753,194529,4,4289365,194.52902,0.0,189.26585,0.921,0.916,0.611,0.539,"['austropop', 'german pop', 'neue deutsche welle', 'new romantic']",1986,1980
1170,rock me amadeus  salieri mix,Rock Me Amadeus 30th Anniversary,falco,35,25bpNQ8AV2BMvWEIpjEOWo,0,0.631,0.902,11,-6.182,0,0.182,0.144,0.00699,0.271,0.846,177.792,502000,4,11069100,502.0,0.29619,499.3103,0.341,1.0,0.578,0.545,"['austropop', 'german pop', 'neue deutsche welle', 'new romantic']",1986,1980
1171,rock me amadeus  the american edit,Rock Me Amadeus 30th Anniversary,falco,26,4k1V4x3xgOFlvR1lt6WYh1,0,0.678,0.942,10,-6.743,0,0.0691,0.163,0.00101,0.352,0.962,92.765,194529,4,4289356,194.52863,0.0,189.26585,0.689,0.924,0.561,0.507,"['austropop', 'german pop', 'neue deutsche welle', 'new romantic']",1986,1980
1172,rock me amadeus  canadian version,Rock Me Amadeus 30th Anniversary,falco,31,6LcGXBSgjZev8Jk9BCi5mK,0,0.592,0.891,11,-6.185,0,0.2,0.125,0.000142,0.359,0.743,178.444,248764,4,5485247,248.76404,0.34399,246.43338,0.366,1.0,0.421,0.435,"['austropop', 'german pop', 'neue deutsche welle', 'new romantic']",1986,1980
1173,rock me amadeus  canadianamerican 86 mix,Rock Me Amadeus 30th Anniversary,falco,27,0ysV0qE6KJPOaE2wxB0RJP,0,0.687,0.907,7,-6.479,1,0.195,0.277,0.00166,0.311,0.844,91.226,247240,4,5451632,247.23955,0.3537,239.91438,0.296,0.865,0.514,0.499,"['austropop', 'german pop', 'neue deutsche welle', 'new romantic']",1986,1980
1174,rock me amadeus  the gold mix,Falco 3 25th Anniversary Edition,falco,43,0wbdaBHi8t5e7EqXV88nka,0,0.609,0.901,4,-4.929,0,0.144,0.315,0.00949,0.116,0.866,176.664,201467,4,4442340,201.46667,0.37741,196.38857,0.248,0.975,0.363,0.258,"['austropop', 'german pop', 'neue deutsche welle', 'new romantic']",1986,1980
1175,rock me amadeus  the gold mix,Rock Me Amadeus 30th Anniversary,falco,30,61KSXW8r9oI1hPHv9Jx1tL,0,0.617,0.861,4,-7.457,0,0.136,0.291,0.00534,0.0877,0.886,176.706,202236,4,4459302,202.23592,0.0,196.03447,0.35,0.995,0.321,0.256,"['austropop', 'german pop', 'neue deutsche welle', 'new romantic']",1986,1980
1176,west end girls  2001 remaster,Please,pet shop boys,68,2yzPBlE5UXK2sqvnNM9QQ0,0,0.651,0.949,4,-6.566,0,0.0403,0.00737,0.125,0.286,0.61,113.257,285733,4,6300420,285.73334,3.05342,276.04462,0.894,1.0,0.308,0.306,"['art pop', 'dance rock', 'europop', 'new romantic', 'new wave', 'new wave pop', 'permanent wave', 'synthpop']",1986,1980
1177,west end girls  2018 remaster,Please: Further Listening 1984 - 1986 (2018 Remaster),pet shop boys,46,2Di0qFNb7ATroCGB3q0Ka7,0,0.656,0.914,4,-7.471,0,0.0394,0.000943,0.0628,0.159,0.576,113.259,285907,4,6304242,285.90668,3.23918,273.8039,0.912,1.0,0.151,0.203,"['art pop', 'dance rock', 'europop', 'new romantic', 'new wave', 'new wave pop', 'permanent wave', 'synthpop']",1986,1980
1178,west end girls  2001 remaster,PopArt: The Hits,pet shop boys,33,3aQ06wb25CWisjA91kqgB4,0,0.648,0.947,4,-6.617,0,0.0369,0.0114,0.0567,0.105,0.602,113.255,245360,4,5410188,245.36,6.07202,233.70885,0.958,1.0,0.396,0.374,"['art pop', 'dance rock', 'europop', 'new romantic', 'new wave', 'new wave pop', 'permanent wave', 'synthpop']",1986,1980
1179,west end girls  disco mix,Disco,pet shop boys,37,56JlUxlgZS1ZFgjopdgdBt,0,0.744,0.76,4,-14.815,0,0.0466,0.048,0.627,0.0502,0.948,112.37,543507,4,11984322,543.50665,0.27279,530.12317,0.954,1.0,0.492,0.367,"['art pop', 'dance rock', 'europop', 'new romantic', 'new wave', 'new wave pop', 'permanent wave', 'synthpop']",1986,1980
1180,west end girls  dance mix; 2018 remaster,Please: Further Listening 1984 - 1986 (2018 Remaster),pet shop boys,28,6AvL8uyGLjJ12axQOej5UL,0,0.796,0.931,2,-4.22,1,0.0521,0.0349,0.391,0.0105,0.806,112.347,399347,4,8805594,399.34668,0.09923,387.56427,0.987,1.0,0.242,0.441,"['art pop', 'dance rock', 'europop', 'new romantic', 'new wave', 'new wave pop', 'permanent wave', 'synthpop']",1986,1980
1181,west end girls  dance mix,Essential Pet Shop Boys,pet shop boys,13,68dVucauDMT1iSfZe3jorq,0,0.765,0.977,4,-5.198,0,0.0458,0.0678,0.404,0.053,0.581,115.082,389400,4,8586270,389.4,0.21751,378.44464,0.812,1.0,0.488,0.465,"['art pop', 'dance rock', 'europop', 'new romantic', 'new wave', 'new wave pop', 'permanent wave', 'synthpop']",1986,1980
1182,west end girls  grum remix,Together,pet shop boys,21,1o7cFXvIpaaQT1FUmjjILg,0,0.71,0.702,9,-7.768,1,0.0349,0.00156,0.396,0.0685,0.811,123.024,333867,4,7361760,333.86667,0.17415,325.4625,0.851,1.0,0.58,0.473,"['art pop', 'dance rock', 'europop', 'new romantic', 'new wave', 'new wave pop', 'permanent wave', 'synthpop']",1986,1980
1183,"west end girls  live at the o2 arena, london  21 december 2009","Pandemonium (Live at the O2 Arena, London - 21 December 2009)",pet shop boys,30,4nKfwUyunCQQEp0ljZ2H0I,0,0.662,0.963,2,-5.091,1,0.0468,0.0246,0.00185,0.941,0.552,113.251,314733,4,6939870,314.73334,0.0,297.27347,0.792,0.993,0.344,0.524,"['art pop', 'dance rock', 'europop', 'new romantic', 'new wave', 'new wave pop', 'permanent wave', 'synthpop']",1986,1980
1184,"west end girls  live at the royal opera house, 2018","Inner Sanctum (Live at the Royal Opera House, 2018)",pet shop boys,23,1lufuhFskYFLL2d6LDc9JW,0,0.665,0.972,9,-6.005,1,0.0827,0.0231,0.0206,0.947,0.215,113.207,310079,4,6837235,310.07867,0.0,300.84933,0.758,0.994,0.457,0.443,"['art pop', 'dance rock', 'europop', 'new romantic', 'new wave', 'new wave pop', 'permanent wave', 'synthpop']",1986,1980
1185,greatest love of all,Whitney The Greatest Hits,whitney houston,31,1tFGMcQFCD5T2irGZ6F5Oz,0,0.514,0.542,9,-6.477,1,0.0295,0.496,1.99e-06,0.195,0.259,131.357,291573,4,6429192,291.57333,3.75002,280.50867,0.24,0.979,0.303,0.507,"['dance pop', 'pop', 'urban contemporary']",1986,1980
1186,greatest love of all  live from thats what friends are for: arista records 15th anniversary concert,Whitney Houston Live: Her Greatest Performances,whitney houston,35,1zHSvq6WdZHdG85ugbGsVj,0,0.321,0.604,8,-6.718,1,0.0554,0.643,0.0,0.977,0.267,112.01,410280,4,9046674,410.28,2.14785,399.80118,0.187,0.737,0.385,0.461,"['dance pop', 'pop', 'urban contemporary']",1986,1980
1187,greatest love of all  junior vasquez mix,Whitney The Greatest Hits,whitney houston,28,1jxC3rmFwRFwkAQNSyZmwA,0,0.6,0.796,2,-6.23,1,0.0499,0.00545,0.000561,0.186,0.234,127.892,291000,4,6416550,291.0,0.3293,279.13287,0.607,0.927,0.399,0.533,"['dance pop', 'pop', 'urban contemporary']",1986,1980
1188,greatest love of all,I Will Always Love You: The Best Of Whitney Houston,whitney houston,34,76XOjja7aQJzAqSA6IDOz6,0,0.51,0.352,9,-13.861,1,0.0329,0.5,2.1e-06,0.107,0.277,131.319,288667,4,6365100,288.66666,0.16957,277.32755,0.317,0.99,0.324,0.524,"['dance pop', 'pop', 'urban contemporary']",1986,1980
1189,live to tell,True Blue (Reissue),madonna,58,095MMFhB9qxPx2VsmvjnUs,0,0.652,0.521,2,-6.752,0,0.0256,0.263,0.0011,0.107,0.235,109.943,351920,4,7759836,351.92,0.20939,341.14178,0.629,1.0,0.417,0.48,"['dance pop', 'pop']",1986,1980
1190,live to tell,The Immaculate Collection,madonna,44,4osrEm2iY3QcTUcQuFUtfW,0,0.627,0.363,5,-12.368,1,0.026,0.104,3.52e-06,0.127,0.259,110.07,318773,4,7028952,318.77332,4.3015,304.73288,0.623,1.0,0.0,0.15,"['dance pop', 'pop']",1986,1980
1191,live to tell,Celebration (double disc version),madonna,41,0OjKjWYMF8nrcHX8kj8D45,0,0.64,0.535,2,-6.556,0,0.0264,0.259,0.000306,0.132,0.248,110.053,351067,4,7741020,351.06668,0.30077,340.89215,0.67,1.0,0.406,0.477,"['dance pop', 'pop']",1986,1980
1192,live to tell,True Blue (35th Anniversary Edition),madonna,39,7j1vEL4ktPrAw74QcJrtq5,0,0.652,0.521,2,-6.752,0,0.0256,0.263,0.0011,0.107,0.235,109.943,351920,4,7759836,351.92,0.20939,341.14178,0.629,1.0,0.417,0.48,"['dance pop', 'pop']",1986,1980
1193,live to tell,Something to Remember,madonna,34,4jV0e7eqsxFUAZA92SITMz,0,0.652,0.521,2,-6.752,0,0.0256,0.263,0.0011,0.107,0.235,109.943,351920,4,7759836,351.92,0.20939,341.14178,0.629,1.0,0.417,0.48,"['dance pop', 'pop']",1986,1980
1194,live to tell  instrumental,True Blue (35th Anniversary Edition),madonna,35,1PmRWXH2MtudoiITbkG2Qc,0,0.738,0.472,2,-9.019,0,0.0301,0.374,0.798,0.1,0.284,109.411,350093,4,7719558,350.09332,0.32472,341.09534,0.663,1.0,0.46,0.517,"['dance pop', 'pop']",1986,1980
1195,holding back the years  live at sydney opera house,Farewell: Live in Concert at Sydney Opera House,simply red,39,6PYneobcmWriSCAHZia2pT,0,0.44,0.667,9,-7.474,0,0.0451,0.358,0.0,0.921,0.649,180.211,284745,4,6278624,284.74484,0.0,278.30276,0.268,0.1,0.585,0.493,"['british soul', 'mellow gold', 'new romantic', 'new wave', 'new wave pop', 'soft rock', 'sophisti-pop']",1986,1980
1196,"holding back the years  live at ziggo dome, amsterdam","Symphonica in Rosso (Live at Ziggo Dome, Amsterdam)",simply red,30,6bwiYl3YQOzxzyijNEopIZ,0,0.31,0.698,7,-6.531,1,0.0388,0.0119,8.24e-06,0.985,0.506,179.853,287573,3,6340992,287.57333,2.65868,282.91772,0.165,0.824,0.758,0.894,"['british soul', 'mellow gold', 'new romantic', 'new wave', 'new wave pop', 'soft rock', 'sophisti-pop']",1986,1980
