,song,album,artist,popularity,track_id,track_explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,num_samples,duration,end_of_fade_in,start_of_fade_out,tempo_confidence,time_signature_confidence,key_confidence,mode_confidence,genres,year,decade
3579,joy to the world,Naturally,three dog night,68,2ymeOsYijJz09LfKw3yM2x,0,0.649,0.679,2,-12.515,1,0.0316,0.464,0.00121,0.339,0.971,126.867,220573,4,4863642,220.57333,0.39324,209.92,0.887,0.794,0.805,0.902,"['album rock', 'art rock', 'blues rock', 'brill building pop', 'bubblegum pop', 'classic rock', 'country rock', 'folk rock', 'hard rock', 'heartland rock', 'mellow gold', 'rock', 'roots rock', 'soft rock']",1971,1970
3580,joy to the world,"Celebrate: The Three Dog Night Story, 1965–1975",three dog night,38,1Sqcqzfgv5oB2nPcVGw6cp,0,0.672,0.788,2,-10.011,1,0.0305,0.157,8.42e-05,0.27,0.976,129.132,197067,4,4345320,197.06667,0.54798,184.74376,0.77,0.973,0.939,0.695,"['album rock', 'art rock', 'blues rock', 'brill building pop', 'bubblegum pop', 'classic rock', 'country rock', 'folk rock', 'hard rock', 'heartland rock', 'mellow gold', 'rock', 'roots rock', 'soft rock']",1971,1970
3581,joy to the world,The Best Of 3 Dog Night,three dog night,27,2F8U2IXoYAz2v3vLpyWgBY,0,0.588,0.697,2,-13.944,1,0.0317,0.0329,2.42e-06,0.186,0.97,129.17,212827,4,4692828,212.82668,0.29084,206.17578,0.826,0.848,0.702,0.472,"['album rock', 'art rock', 'blues rock', 'brill building pop', 'bubblegum pop', 'classic rock', 'country rock', 'folk rock', 'hard rock', 'heartland rock', 'mellow gold', 'rock', 'roots rock', 'soft rock']",1971,1970
3582,want ads,Because I Said So (Music From And Inspired By The Motion Picture),the shirelles,37,3YpN9pvaTXKSXurj3HBq8M,0,0.651,0.812,1,-6.912,1,0.239,0.33,0.000131,0.0833,0.927,189.684,166386,4,3668818,166.3863,0.30349,156.58957,0.13,1.0,0.397,0.414,['classic soul'],1971,1970
3583,how can you mend a broken heart,Trafalgar,bee gees,61,1jy0RbDHyBMTupSdc98XbG,0,0.335,0.262,4,-13.832,1,0.0393,0.548,0.0,0.0971,0.203,68.82,237827,4,5244078,237.82668,0.26771,228.04317,0.199,1.0,0.874,0.74,"['disco', 'mellow gold', 'soft rock']",1971,1970
3584,how can you mend a broken heart,How Can You Mend A Broken Heart,bee gees,43,500p2JKoUouvNLorJtaHMH,0,0.315,0.434,4,-6.313,1,0.0426,0.512,0.0,0.0856,0.215,205.772,236200,3,5208210,236.2,0.21864,227.75293,0.187,1.0,0.872,0.748,"['disco', 'mellow gold', 'soft rock']",1971,1970
3585,how can you mend a broken heart  live at the mgm grand,One Night Only,bee gees,41,0R25L71h2rUyy0tVA1K464,0,0.529,0.476,4,-7.265,1,0.0336,0.508,0.0,0.953,0.351,81.441,206960,4,4563468,206.96,0.0,206.96,0.6,0.985,0.868,0.766,"['disco', 'mellow gold', 'soft rock']",1971,1970
3586,how can you mend a broken heart,The Ultimate Bee Gees,bee gees,26,008OEwTM1G1rCdn0trlez9,0,0.463,0.369,4,-8.5,1,0.0318,0.266,0.0,0.0828,0.225,67.928,238013,4,5248194,238.01334,0.2322,227.28853,0.253,0.947,0.832,0.706,"['disco', 'mellow gold', 'soft rock']",1971,1970
3587,how can you mend a broken heart,Timeless - The All-Time Greatest Hits,bee gees,26,6CbxpzsBJnCOwkZBGGiclr,0,0.454,0.391,4,-8.373,1,0.0306,0.239,0.0,0.0787,0.232,68.911,239133,4,5272890,239.13333,0.31351,227.3698,0.208,0.947,0.899,0.744,"['disco', 'mellow gold', 'soft rock']",1971,1970
3588,"how can you mend a broken heart  live at the forum, los angeles, 1976",Here At Last… Bee Gees …Live,bee gees,26,1fjncL8PtUcUyUV4fJcNda,0,0.462,0.247,4,-15.827,1,0.0406,0.776,9.4e-06,0.767,0.379,75.93,225267,4,4967130,225.26666,0.0,225.26666,0.216,0.946,0.801,0.75,"['disco', 'mellow gold', 'soft rock']",1971,1970
