,artist_name,album_name,song_name,popularity,track_id,track_explicit,danceability,energy,key_x,loudness_x,mode_x,speechiness,acousticness,instrumentalness,liveness,valence,tempo_x,type,id_x,uri,track_href,analysis_url,duration_ms,time_signature_x,num_samples,duration,analysis_sample_rate,end_of_fade_in,start_of_fade_out,loudness_y,tempo_y,tempo_confidence,time_signature_y,time_signature_confidence,key_y,key_confidence,mode_y,mode_confidence,id_y
899,Bee Gees,Timeless - The All-Time Greatest Hits,"Stayin' Alive - From ""Saturday Night Fever"" Soundtrack",48,4ICKuJDY5F2XdTR4fIMA7W,False,0.7,0.744,10,-8.217,0,0.0346,0.0198,0.0081,0.155,0.903,103.559,audio_features,4ICKuJDY5F2XdTR4fIMA7W,spotify:track:4ICKuJDY5F2XdTR4fIMA7W,https://api.spotify.com/v1/tracks/4ICKuJDY5F2XdTR4fIMA7W,https://api.spotify.com/v1/audio-analysis/4ICKuJDY5F2XdTR4fIMA7W,284427,4,6271608,284.42667,22050,0.29741,275.24353,-8.217,103.559,0.964,4,1.0,10,0.63,0,0.672,4ICKuJDY5F2XdTR4fIMA7W
900,Bee Gees,Tales From The Brothers Gibb,"Stayin' Alive - From ""Saturday Night Fever"" Soundtrack",52,79hJaqmVdohltPBNN6BULM,False,0.708,0.567,10,-15.539,0,0.0355,0.07,0.00105,0.152,0.955,103.606,audio_features,79hJaqmVdohltPBNN6BULM,spotify:track:79hJaqmVdohltPBNN6BULM,https://api.spotify.com/v1/tracks/79hJaqmVdohltPBNN6BULM,https://api.spotify.com/v1/audio-analysis/79hJaqmVdohltPBNN6BULM,281667,4,6210750,281.66666,22050,0.22095,274.81976,-15.539,103.606,0.964,4,1.0,10,0.481,0,0.573,79hJaqmVdohltPBNN6BULM
901,Bee Gees,Tales From The Brothers Gibb,"Stayin' Alive - From ""Saturday Night Fever"" Soundtrack",52,79hJaqmVdohltPBNN6BULM,False,0.708,0.567,10,-15.539,0,0.0355,0.07,0.00105,0.152,0.955,103.606,audio_features,79hJaqmVdohltPBNN6BULM,spotify:track:79hJaqmVdohltPBNN6BULM,https://api.spotify.com/v1/tracks/79hJaqmVdohltPBNN6BULM,https://api.spotify.com/v1/audio-analysis/79hJaqmVdohltPBNN6BULM,281667,4,6210750,281.66666,22050,0.22095,274.81976,-15.539,103.606,0.964,4,1.0,10,0.481,0,0.573,79hJaqmVdohltPBNN6BULM
902,Bee Gees,Tales From The Brothers Gibb,"Stayin' Alive - From ""Saturday Night Fever"" Soundtrack",52,79hJaqmVdohltPBNN6BULM,False,0.708,0.567,10,-15.539,0,0.0355,0.07,0.00105,0.152,0.955,103.606,audio_features,79hJaqmVdohltPBNN6BULM,spotify:track:79hJaqmVdohltPBNN6BULM,https://api.spotify.com/v1/tracks/79hJaqmVdohltPBNN6BULM,https://api.spotify.com/v1/audio-analysis/79hJaqmVdohltPBNN6BULM,281667,4,6210750,281.66666,22050,0.22095,274.81976,-15.539,103.606,0.964,4,1.0,10,0.481,0,0.573,79hJaqmVdohltPBNN6BULM
903,Bee Gees,Tales From The Brothers Gibb,"Stayin' Alive - From ""Saturday Night Fever"" Soundtrack",52,79hJaqmVdohltPBNN6BULM,False,0.708,0.567,10,-15.539,0,0.0355,0.07,0.00105,0.152,0.955,103.606,audio_features,79hJaqmVdohltPBNN6BULM,spotify:track:79hJaqmVdohltPBNN6BULM,https://api.spotify.com/v1/tracks/79hJaqmVdohltPBNN6BULM,https://api.spotify.com/v1/audio-analysis/79hJaqmVdohltPBNN6BULM,281667,4,6210750,281.66666,22050,0.22095,274.81976,-15.539,103.606,0.964,4,1.0,10,0.481,0,0.573,79hJaqmVdohltPBNN6BULM
904,Bee Gees,Tales From The Brothers Gibb,"Stayin' Alive - From ""Saturday Night Fever"" Soundtrack",52,79hJaqmVdohltPBNN6BULM,False,0.708,0.567,10,-15.539,0,0.0355,0.07,0.00105,0.152,0.955,103.606,audio_features,79hJaqmVdohltPBNN6BULM,spotify:track:79hJaqmVdohltPBNN6BULM,https://api.spotify.com/v1/tracks/79hJaqmVdohltPBNN6BULM,https://api.spotify.com/v1/audio-analysis/79hJaqmVdohltPBNN6BULM,281667,4,6210750,281.66666,22050,0.22095,274.81976,-15.539,103.606,0.964,4,1.0,10,0.481,0,0.573,79hJaqmVdohltPBNN6BULM
905,Bee Gees,Tales From The Brothers Gibb,"Stayin' Alive - From ""Saturday Night Fever"" Soundtrack",52,79hJaqmVdohltPBNN6BULM,False,0.708,0.567,10,-15.539,0,0.0355,0.07,0.00105,0.152,0.955,103.606,audio_features,79hJaqmVdohltPBNN6BULM,spotify:track:79hJaqmVdohltPBNN6BULM,https://api.spotify.com/v1/tracks/79hJaqmVdohltPBNN6BULM,https://api.spotify.com/v1/audio-analysis/79hJaqmVdohltPBNN6BULM,281667,4,6210750,281.66666,22050,0.22095,274.81976,-15.539,103.606,0.964,4,1.0,10,0.481,0,0.573,79hJaqmVdohltPBNN6BULM
906,Bee Gees,Tales From The Brothers Gibb,"Stayin' Alive - From ""Saturday Night Fever"" Soundtrack",52,79hJaqmVdohltPBNN6BULM,False,0.708,0.567,10,-15.539,0,0.0355,0.07,0.00105,0.152,0.955,103.606,audio_features,79hJaqmVdohltPBNN6BULM,spotify:track:79hJaqmVdohltPBNN6BULM,https://api.spotify.com/v1/tracks/79hJaqmVdohltPBNN6BULM,https://api.spotify.com/v1/audio-analysis/79hJaqmVdohltPBNN6BULM,281667,4,6210750,281.66666,22050,0.22095,274.81976,-15.539,103.606,0.964,4,1.0,10,0.481,0,0.573,79hJaqmVdohltPBNN6BULM
907,Bee Gees,Tales From The Brothers Gibb,"Stayin' Alive - From ""Saturday Night Fever"" Soundtrack",52,79hJaqmVdohltPBNN6BULM,False,0.708,0.567,10,-15.539,0,0.0355,0.07,0.00105,0.152,0.955,103.606,audio_features,79hJaqmVdohltPBNN6BULM,spotify:track:79hJaqmVdohltPBNN6BULM,https://api.spotify.com/v1/tracks/79hJaqmVdohltPBNN6BULM,https://api.spotify.com/v1/audio-analysis/79hJaqmVdohltPBNN6BULM,281667,4,6210750,281.66666,22050,0.22095,274.81976,-15.539,103.606,0.964,4,1.0,10,0.481,0,0.573,79hJaqmVdohltPBNN6BULM
908,Andy Gibb,The Very Best Of,(Love Is) Thicker Than Water,21,2bOYEeq52xjn0l4lRGSsPF,False,0.577,0.531,6,-8.076,0,0.0258,0.12,7.19e-05,0.0789,0.58,96.542,audio_features,2bOYEeq52xjn0l4lRGSsPF,spotify:track:2bOYEeq52xjn0l4lRGSsPF,https://api.spotify.com/v1/tracks/2bOYEeq52xjn0l4lRGSsPF,https://api.spotify.com/v1/audio-analysis/2bOYEeq52xjn0l4lRGSsPF,256000,4,5644800,256.0,22050,0.0,246.74104,-8.076,96.542,0.941,4,1.0,6,0.487,0,0.71,2bOYEeq52xjn0l4lRGSsPF
